variable,"keyword \%\newline of 5{,}018{,}080","$p>0.5$ \%\newline of 150{,}000","E[p] \%\newline of 150{,}000",floor \%,hits,confirmed \%\newline of hits,"uncertain \%\newline of 150{,}000"
hit\_and\_run,--,"15.863 [15.679, 16.049]",17.384,0,--,--,2.02
witness\_cited,--,"6.127 [6.006, 6.249]",9.033,0,--,--,2.87
transported,--,"4.997 [4.887, 5.108]",6.778,2,--,--,0.42
alcohol\_involved,--,"3.635 [3.541, 3.731]",5.498,4,--,--,0.38
hydroplane,0.895,"2.352 [2.276, 2.430]",3.623$^{\ddagger}$,20,"1{,}328","99.77 [99.34, 99.95]",0.41
vehicle\_defect,0.500,"2.209 [2.135, 2.284]",3.965,8,728,"93.13 [91.05, 94.86]",0.91
animal\_involved,1.997,"2.016 [1.945, 2.088]",3.224$^{\ddagger}$,25,"2{,}981","83.76 [82.39, 85.07]",0.16
wrong\_way,0.332,"1.427 [1.368, 1.489]",5.087,0,513,"78.36 [74.54, 81.85]",1.85
fatigue,1.170,"1.399 [1.340, 1.459]",2.653$^{\ddagger}$,28,"1{,}824","96.77 [95.85, 97.53]",0.15
aggression,0.566,"1.103 [1.050, 1.157]",3.916,4,842,"48.46 [45.03, 51.89]",1.11
medical\_episode,0.742,"1.055 [1.004, 1.108]",2.984,15,"1{,}148","82.06 [79.71, 84.23]",0.77
phone\_use,--,"1.038 [0.987, 1.091]",2.463$^{\ddagger}$,27,--,--,0.28
unbelted,--,"0.596 [0.558, 0.636]",2.844,4,--,--,0.79
drug\_involved,0.242,"0.562 [0.525, 0.601]",2.501,12,377,"88.06 [84.36, 91.16]",0.26
intentional,0.165,"0.359 [0.329, 0.390]",3.267,4,225,"59.56 [52.83, 66.03]",0.54
preg\_mentioned,0.108,"0.116 [0.099, 0.135]",1.179$^{\ddagger}$,80,173,"97.11 [93.38, 99.06]",0.01
